"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate","status"
"Bundaberg",28.417454,924,898,954,891,5.31320597904179,5.23644196282995,6.79234442747081,3.34700353385656,"Actual"
"Burdekin",30.570747,966,923,969,890,5.08140436498446,5.15329159449778,6.79122146272619,3.42004357132549,"Actual"
"Cairns",13.360835,981,966,971,972,4.98360662170834,5.14166355650266,6.87935580446044,2.59232766615546,"Actual"
"Carpentaria",78.61327,851,862,837,852,5.62040086571715,5.72031177660741,6.74758652682932,4.3645405147016,"Actual"
"Cassowary Coast",41.527518,929,902,941,888,5.28826703069454,5.30330490805908,6.78897174299217,3.72635629183072,"Actual"
"Central Highlands (Qld)",13.340562,996,961,1003,914,4.87519732320115,4.93447393313069,6.81783057145415,2.59080916853561,"Actual"
"Charters Towers",26.774658,933,908,945,894,5.26785815906333,5.28320372873799,6.79570577517351,3.28745584314299,"Actual"
"Cherbourg",74.909484,498,660,561,814,6.44413125670044,6.36475075685191,6.70196036600254,4.31628050467015,"Actual"
"Cloncurry",46.690559,965,939,936,903,5.08759633523238,5.32787616878958,6.80572255341699,3.84354198149631,"Actual"
"Cook",17.643735,913,912,885,937,5.36597601502185,5.54907608489522,6.84268328223842,2.8703807628599,"Actual"
"Doomadgee",78.61327,534,696,580,846,6.38519439899773,6.33150184989369,6.74051935960622,4.3645405147016,"Actual"
"Douglas",11.484324,979,944,967,936,4.99721227376411,5.16478597392351,6.84161547647759,2.44098297502698,"Actual"
"Flinders (Qld)",19.265348,970,945,960,930,5.05624580534831,5.2040066870768,6.8351845861473,2.95830804176133,"Actual"
